IMDB id,Title,Year,Rating,Genre,Top_cast,Top casts
tt10329614,Censor,2021.0,6.0,"Horror, Mystery",NiamhAlgar MichaelSmiley NicholasBurns VincentFranklin SophiaLaPorta,"Niamh Algar, Michael Smiley, Nicholas Burns, Vincent Franklin, Sophia La Porta"
tt0129422,Tarana,1951.0,7.5,"Drama, Romance",Madhubala DilipKumar Shyama JeevanDhar Gulab,"Madhubala, Dilip Kumar, Shyama, Jeevan Dhar, Gulab"
tt0137455,Dastak,1970.0,7.5,Drama,SanjeevKumar RehanaSultan ShakeelaBanoBhopali AnwarHussain ManmohanKrishna,"Sanjeev Kumar, Rehana Sultan, Shakeela Bano Bhopali, Anwar Hussain, Manmohan Krishna"
tt0055767,Baat Ek Raat Ki,1962.0,7.0,"Mystery, Romance, Thriller",DevAnand WaheedaRehman ChandrashekharVaidya JohnnyWalker Ulhas,"Dev Anand, Waheeda Rehman, Chandrashekhar Vaidya, Johnny Walker, Ulhas"
tt0061046,Suraj,1966.0,6.7,"Romance, Musical, Action",Vyjayanthimala RajendraKumarTuli AjitKhan GajananJagirdar Agha,"Vyjayanthimala, Rajendra Kumar Tuli, Ajit Khan, Gajanan Jagirdar, Agha"
tt0230348,Jab Pyar Kisise Hota Hai,1961.0,6.7,"Comedy, Drama, Musical",DevAnand AshaParekh SulochanaLatkar MubarakMechant RajMehra,"Dev Anand, Asha Parekh, Sulochana Latkar, Mubarak Mechant, Raj Mehra"
tt0215902,Kinara,1977.0,6.9,"Drama, Romance",Jeetendra HemaMalini Dharmendra OmShivpuri ShreeramLagoo,"Jeetendra, Hema Malini, Dharmendra, Om Shivpuri, Shreeram Lagoo"
tt0206238,Raaz,1967.0,6.1,"Thriller, Mystery",RajeshKhanna BabitaKapoor I.S.Johar Khurshid D.K.Sapru,"Rajesh Khanna, Babita Kapoor, I.S. Johar, Khurshid, D.K. Sapru"
tt0362798,Kasam Paida Karne Wale Ki,1984.0,5.7,"Action, Drama",MithunChakraborty SmitaPatil SalmaAgha AmrishPuri KaranRazdan,"Mithun Chakraborty, Smita Patil, Salma Agha, Amrish Puri, Karan Razdan"
tt0070097,Gehri Chaal,1973.0,5.4,"Action, Crime, Thriller",Jeetendra HemaMalini AmitabhBachchan PremChopra BinduDesai,"Jeetendra, Hema Malini, Amitabh Bachchan, Prem Chopra, Bindu Desai"
tt0260066,Haathkadi,1995.0,4.4,"Action, Comedy, Drama",Govinda ShilpaShettyKundra Madhoo ShaktiKapoor KiranKumar,"Govinda, Shilpa Shetty Kundra, Madhoo, Shakti Kapoor, Kiran Kumar"
tt0230993,Zamaane Ko Dikhana Hai,1981.0,6.6,"Romance, Thriller",RishiKapoor PadminiKolhapure AmjadKhan YogeetaBali KaderKhan,"Rishi Kapoor, Padmini Kolhapure, Amjad Khan, Yogeeta Bali, Kader Khan"
tt0276628,Yehi Hai Zindagi,1977.0,7.1,"Comedy, Drama",SanjeevKumar UtpalDutt DavidAbraham RomeshSharma RameshDeo,"Sanjeev Kumar, Utpal Dutt, David Abraham, Romesh Sharma, Ramesh Deo"
tt0107821,Phool Aur Angaar,1993.0,5.8,"Action, Drama",GovardhanAsrani Bajrangi ArunBali NimaiBali MohnishBehl,"Govardhan Asrani, Bajrangi, Arun Bali, Nimai Bali, Mohnish Behl"
tt0357208,Stumped,2003.0,2.6,"Comedy, Drama, Sport",RaveenaTandon AlyyKhan SalmanKhan VijuKhote MacMohan,"Raveena Tandon, Alyy Khan, Salman Khan, Viju Khote, Mac Mohan"
tt0056998,Dil Hi To Hai,1963.0,7.3,"Comedy, Drama, Romance",RajKapoor Nutan Agha PranSikand LeelaChitnis,"Raj Kapoor, Nutan, Agha, Pran Sikand, Leela Chitnis"
tt0377845,Ek Chadar Maili Si,1986.0,7.0,Drama,HemaMalini RishiKapoor PoonamDhillon KulbhushanKharbanda DinaPathak,"Hema Malini, Rishi Kapoor, Poonam Dhillon, Kulbhushan Kharbanda, Dina Pathak"
tt0271023,Kab? Kyoon? Aur Kahan?,1970.0,6.8,"Action, Mystery, Romance",Dharmendra BabitaKapoor PranSikand Helen Ashoo,"Dharmendra, Babita Kapoor, Pran Sikand, Helen, Ashoo"
tt1214948,Bhram: An Illusion,2008.0,4.1,"Drama, Mystery, Romance",DinoMorea MilindSoman SheetalMenon ChetanHansraj SimoneSingh,"Dino Morea, Milind Soman, Sheetal Menon, Chetan Hansraj, Simone Singh"
tt0055276,Parakh,1960.0,7.5,"Comedy, Drama, Romance",Motilal VasantChoudhury SadhanaShivdasani NasirHussain Jayant,"Motilal, Vasant Choudhury, Sadhana Shivdasani, Nasir Hussain, Jayant"
tt0151466,Main Tulsi Tere Aangan Ki,1978.0,6.7,"Drama, Family",Nutan AshaParekh VijayAnand VinodKhanna DebMukherjee,"Nutan, Asha Parekh, Vijay Anand, Vinod Khanna, Deb Mukherjee"
tt0071083,27 Down,1974.0,7.2,Drama,SudhirDalvi RakheeGulzar SadhuMeher M.K.Raina RekhaSabnis,"Sudhir Dalvi, Rakhee Gulzar, Sadhu Meher, M.K. Raina, Rekha Sabnis"
tt0262446,Gopichand Jasoos,1982.0,5.3,"Comedy, Thriller",RajKapoor ZeenatAman I.S.Johar VijuKhote SujitKumar,"Raj Kapoor, Zeenat Aman, I.S. Johar, Viju Khote, Sujit Kumar"
tt0155499,Antarnaad,1991.0,7.9,Drama,ShabanaAzmi GirishKarnad KulbhushanKharbanda OmPuri RaviJhankal,"Shabana Azmi, Girish Karnad, Kulbhushan Kharbanda, Om Puri, Ravi Jhankal"
